TITEL: Alle peilbuizen Hageven
GEBRUIKERSNAAM: Julie
PERIODE : 1960/01/01-2007/01/01
DATUM : 2006/09/26
REFERENTIE: NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X COORDINAAT,Y COORDINAAT,MAAIVELD NAP,GESCHAT, MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HAGP002,1,1999/02/15 00:00:00,-101,
HAGP002,1,1999/03/01 00:00:00,-93,
HAGP002,1,1999/03/15 00:00:00,-107,
HAGP002,1,1999/03/29 00:00:00,-114,
HAGP002,1,1999/04/14 00:00:00,-100,
HAGP002,1,1999/04/28 00:00:00,-118,
HAGP002,1,1999/05/14 00:00:00,-119,
HAGP002,1,1999/05/28 00:00:00,-125,
HAGP002,1,1999/06/14 00:00:00,-128,
HAGP002,1,1999/06/28 00:00:00,-134,
HAGP002,1,1999/07/14 00:00:00,-125,
HAGP002,1,1999/07/28 00:00:00,-136,
HAGP002,1,1999/08/16 00:00:00,-112,
HAGP002,1,1999/09/13 00:00:00,-131,
HAGP002,1,1999/09/28 00:00:00,-132,
HAGP002,1,1999/10/14 00:00:00,-132,
HAGP002,1,1999/10/28 00:00:00,-133,
HAGP002,1,1999/11/16 00:00:00,-128,
HAGP002,1,1999/11/28 00:00:00,-130,
HAGP002,1,1999/12/14 00:00:00,-97,
HAGP002,1,1999/12/28 00:00:00,-89,
HAGP002,1,2000/01/14 00:00:00,-118,
HAGP002,1,2000/01/28 00:00:00,-123,
HAGP002,1,2000/02/14 00:00:00,-114,
HAGP002,1,2000/02/28 00:00:00,-113,
HAGP002,1,2000/03/14 00:00:00,-115,
HAGP002,1,2000/03/28 00:00:00,-120,
HAGP002,1,2000/04/14 00:00:00,-119,
HAGP002,1,2000/04/28 00:00:00,-121,
HAGP002,1,2000/05/15 00:00:00,-128,
HAGP002,1,2000/05/29 00:00:00,-118,
HAGP002,1,2000/06/14 00:00:00,-128,
HAGP002,1,2000/06/28 00:00:00,-130,
HAGP002,1,2000/07/14 00:00:00,-112,
HAGP002,1,2000/07/28 00:00:00,-93,
HAGP002,1,2000/08/16 00:00:00,-131,
HAGP002,1,2000/08/18 00:00:00,-126,
HAGP002,1,2000/09/12 00:00:00,-127,
HAGP002,1,2000/09/28 00:00:00,-123,
HAGP002,1,2000/10/16 00:00:00,-116,
HAGP002,1,2000/10/27 00:00:00,-116,
HAGP002,1,2000/11/14 00:00:00,-109,
HAGP002,1,2000/11/28 00:00:00,-96,
HAGP002,1,2000/12/14 00:00:00,-98,
HAGP002,1,2000/12/28 00:00:00,-113,
HAGP002,1,2001/01/14 00:00:00,-113,
HAGP002,1,2001/01/29 00:00:00,-104,
HAGP002,1,2001/02/14 00:00:00,-110,
HAGP002,1,2001/02/28 00:00:00,-117,
HAGP002,1,2001/03/14 00:00:00,-105,
HAGP002,1,2001/06/14 00:00:00,-132,
HAGP002,1,2001/06/28 00:00:00,-134,
HAGP002,1,2001/07/13 00:00:00,-134,
HAGP002,1,2001/07/28 00:00:00,-129,
HAGP002,1,2001/08/16 00:00:00,-135,
HAGP002,1,2001/09/14 00:00:00,-120,
HAGP002,1,2001/10/28 00:00:00,-108,
HAGP002,1,2001/11/13 00:00:00,-111,
HAGP002,1,2001/11/28 00:00:00,-106,
HAGP002,1,2001/12/14 00:00:00,-115,
HAGP002,1,2001/12/28 00:00:00,-85,
HAGP002,1,2002/01/28 00:00:00,-89,
HAGP002,1,2002/02/14 00:00:00,-98,
HAGP002,1,2002/02/28 00:00:00,-87,
HAGP002,1,2002/03/14 00:00:00,-107,
HAGP002,1,2002/03/28 00:00:00,-113,
HAGP002,1,2002/04/14 00:00:00,-119,
HAGP002,1,2002/04/28 00:00:00,-110,
HAGP002,1,2002/05/14 00:00:00,-119,
HAGP002,1,2002/05/28 00:00:00,-122,
HAGP002,1,2002/06/14 00:00:00,-126,
HAGP002,1,2002/06/28 00:00:00,-134,
HAGP002,1,2002/07/14 00:00:00,-107,
HAGP002,1,2002/07/29 00:00:00,-124,
HAGP002,1,2002/08/14 00:00:00,-120,
HAGP002,1,2002/08/29 00:00:00,-101,
HAGP002,1,2002/09/14 00:00:00,-121,
HAGP002,1,2002/09/28 00:00:00,-117,
HAGP002,1,2002/10/14 00:00:00,-121,
HAGP002,1,2002/10/28 00:00:00,-102,
HAGP002,1,2002/11/14 00:00:00,-97,
HAGP002,1,2002/11/28 00:00:00,-107,
HAGP002,1,2002/12/14 00:00:00,-117,
HAGP002,1,2002/12/28 00:00:00,-97,
HAGP002,1,2003/01/14 00:00:00,-103,
HAGP002,1,2003/01/28 00:00:00,-100,
HAGP002,1,2003/02/14 00:00:00,-115,
HAGP002,1,2003/02/28 00:00:00,-119,
HAGP002,1,2003/03/14 00:00:00,-108,
HAGP002,1,2003/03/28 00:00:00,-120,
HAGP002,1,2003/04/14 00:00:00,-99,
HAGP002,1,2003/04/28 00:00:00,-93,
HAGP002,1,2003/05/14 00:00:00,-120,
HAGP002,1,2003/05/28 00:00:00,-117,
HAGP002,1,2003/06/13 00:00:00,-112,
HAGP002,1,2003/06/27 00:00:00,-126,
HAGP002,1,2003/07/14 00:00:00,-126,
HAGP002,1,2003/07/28 00:00:00,-120,
HAGP002,1,2003/08/14 00:00:00,-135,
HAGP002,1,2003/08/27 00:00:00,-137,
HAGP002,1,2003/09/16 00:00:00,-129,
HAGP002,1,2003/09/28 00:00:00,-130,
HAGP002,1,2003/10/14 00:00:00,-114,
HAGP002,1,2003/10/28 00:00:00,-117,
HAGP002,1,2003/11/14 00:00:00,-123,
HAGP002,1,2003/11/27 00:00:00,-119,
HAGP002,1,2003/12/16 00:00:00,-104,
HAGP002,1,2003/12/29 00:00:00,-101,
HAGP002,1,2004/01/13 00:00:00,-87,
HAGP002,1,2004/01/29 00:00:00,-108,
HAGP002,1,2004/02/13 00:00:00,-105,
HAGP002,1,2004/02/27 00:00:00,-111,
HAGP002,1,2004/03/15 00:00:00,-116,
HAGP002,1,2004/03/29 00:00:00,-120,
HAGP002,1,2004/04/14 00:00:00,-120,
HAGP002,1,2004/04/28 00:00:00,-126,
HAGP003,1,1991/12/16 00:00:00,-130,
HAGP003,1,1991/12/28 00:00:00,-111,
HAGP003,1,1992/01/14 00:00:00,-119,
HAGP003,1,1992/01/28 00:00:00,-124,
HAGP003,1,1992/02/14 00:00:00,-119,
HAGP003,1,1992/02/28 00:00:00,-125,
HAGP003,1,1992/03/14 00:00:00,-109,
HAGP003,1,1992/03/27 00:00:00,-115,
HAGP003,1,1992/04/14 00:00:00,-120,
HAGP003,1,1992/04/28 00:00:00,-116,
HAGP003,1,1992/05/14 00:00:00,-118,
HAGP003,1,1992/05/27 00:00:00,-130,
HAGP003,1,1992/06/15 00:00:00,-122,
HAGP003,1,1992/06/29 00:00:00,-135,
HAGP003,1,1992/07/14 00:00:00,-127,
HAGP003,1,1992/07/28 00:00:00,-138,
HAGP003,1,1992/08/14 00:00:00,-94,
HAGP003,1,1992/08/28 00:00:00,-112,
HAGP003,1,1992/09/14 00:00:00,-111,
HAGP003,1,1992/09/28 00:00:00,-122,
HAGP003,1,1992/10/14 00:00:00,-122,
HAGP003,1,1992/10/28 00:00:00,-102,
HAGP003,1,1992/11/13 00:00:00,-101,
HAGP003,1,1992/11/27 00:00:00,-99,
HAGP003,1,1992/12/14 00:00:00,-98,
HAGP003,1,1992/12/28 00:00:00,-107,
HAGP003,1,1993/01/14 00:00:00,-88,
HAGP003,1,1993/01/28 00:00:00,-93,
HAGP003,1,1993/02/15 00:00:00,-110,
HAGP003,1,1993/03/01 00:00:00,-109,
HAGP003,1,1993/03/15 00:00:00,-116,
HAGP003,1,1993/03/29 00:00:00,-119,
HAGP003,1,1993/04/14 00:00:00,-114,
HAGP003,1,1993/04/28 00:00:00,-120,
HAGP003,1,1993/05/14 00:00:00,-121,
HAGP003,1,1993/05/28 00:00:00,-121,
HAGP003,1,1993/06/14 00:00:00,-124,
HAGP003,1,1993/06/28 00:00:00,-129,
HAGP003,1,1993/07/14 00:00:00,-131,
HAGP003,1,1993/07/28 00:00:00,-103,
HAGP003,1,1993/08/13 00:00:00,-124,
HAGP003,1,1993/08/27 00:00:00,-124,
HAGP003,1,1993/09/16 00:00:00,-120,
HAGP003,1,1993/09/28 00:00:00,-101,
HAGP003,1,1993/10/14 00:00:00,-105,
HAGP003,1,1993/10/28 00:00:00,-116,
HAGP003,1,1993/11/16 00:00:00,-93,
HAGP003,1,1993/11/27 00:00:00,-114,
HAGP003,1,1993/12/14 00:00:00,-81,
HAGP003,1,1993/12/28 00:00:00,-86,
HAGP003,1,1994/01/14 00:00:00,-90,
HAGP003,1,1994/01/28 00:00:00,-83,
HAGP003,1,1994/02/14 00:00:00,-102,
HAGP003,1,1994/02/28 00:00:00,-101,
HAGP003,1,1994/03/14 00:00:00,-107,
HAGP003,1,1994/03/28 00:00:00,-99,
HAGP003,1,1994/04/14 00:00:00,-103,
HAGP003,1,1994/04/28 00:00:00,-110,
HAGP003,1,1994/05/10 00:00:00,-110,
HAGP003,1,1994/05/26 00:00:00,-106,
HAGP003,1,1994/06/14 00:00:00,-109,
HAGP003,1,1994/06/28 00:00:00,-121,
HAGP003,1,1994/07/14 00:00:00,-111,
HAGP003,1,1994/07/28 00:00:00,-126,
HAGP003,1,1994/08/16 00:00:00,-127,
HAGP003,1,1994/08/29 00:00:00,-118,
HAGP003,1,1994/09/14 00:00:00,-118,
HAGP003,1,1994/09/28 00:00:00,-107,
HAGP003,1,1994/10/14 00:00:00,-113,
HAGP003,1,1994/10/28 00:00:00,-107,
HAGP003,1,1994/11/14 00:00:00,-104,
HAGP003,1,1994/11/28 00:00:00,-108,
HAGP003,1,1994/12/14 00:00:00,-91,
HAGP003,1,1994/12/28 00:00:00,-76,
HAGP003,1,1995/01/13 00:00:00,-94,
HAGP003,1,1995/01/27 00:00:00,-76,
HAGP003,1,1995/02/14 00:00:00,-95,
HAGP003,1,1995/02/28 00:00:00,-92,
HAGP003,1,1995/03/14 00:00:00,-101,
HAGP003,1,1995/03/28 00:00:00,-98,
HAGP003,1,1995/04/14 00:00:00,-103,
HAGP003,1,1995/04/28 00:00:00,-104,
HAGP003,1,1995/05/15 00:00:00,-111,
HAGP003,1,1995/05/28 00:00:00,-98,
HAGP003,1,1995/06/16 00:00:00,-102,
HAGP003,1,1995/06/28 00:00:00,-114,
HAGP003,1,1995/07/14 00:00:00,-120,
HAGP003,1,1995/07/28 00:00:00,-120,
HAGP003,1,1995/08/16 00:00:00,-125,
HAGP003,1,1995/08/28 00:00:00,-105,
HAGP003,1,1995/09/14 00:00:00,-109,
HAGP003,1,1995/09/28 00:00:00,-94,
HAGP003,1,1995/10/14 00:00:00,-110,
HAGP003,1,1995/10/27 00:00:00,-114,
HAGP003,1,1995/11/14 00:00:00,-117,
HAGP003,1,1995/11/28 00:00:00,-117,
HAGP003,1,1995/12/14 00:00:00,-118,
HAGP003,1,1995/12/28 00:00:00,-107,
HAGP003,1,1996/01/14 00:00:00,-117,
HAGP003,1,1996/01/28 00:00:00,-126,
HAGP003,1,1996/02/14 00:00:00,-119,
HAGP003,1,1996/02/28 00:00:00,-115,
HAGP003,1,1996/03/14 00:00:00,-124,
HAGP003,1,1996/03/28 00:00:00,-126,
HAGP003,1,1996/04/15 00:00:00,-125,
HAGP003,1,1996/04/29 00:00:00,-126,
HAGP003,1,1996/05/14 00:00:00,-125,
HAGP003,1,1996/05/28 00:00:00,-118,
HAGP003,1,1996/06/14 00:00:00,-130,
HAGP003,1,1996/06/28 00:00:00,-131,
HAGP003,1,1996/07/15 00:00:00,-131,
HAGP003,1,1996/07/29 00:00:00,-132,
HAGP003,1,1996/08/14 00:00:00,-108,
HAGP003,1,1996/08/29 00:00:00,-65,
HAGP003,1,1996/09/14 00:00:00,-115,
HAGP003,1,1996/09/27 00:00:00,-119,
HAGP003,1,1996/10/14 00:00:00,-119,
HAGP003,1,1996/10/28 00:00:00,-113,
HAGP003,1,1996/11/14 00:00:00,-101,
HAGP003,1,1996/11/28 00:00:00,-100,
HAGP003,1,1996/12/13 00:00:00,-103,
HAGP003,1,1996/12/27 00:00:00,-114,
HAGP003,1,1997/01/14 00:00:00,-116,
HAGP003,1,1997/02/14 00:00:00,-97,
HAGP003,1,1997/02/28 00:00:00,-102,
HAGP003,1,1997/03/14 00:00:00,-111,
HAGP003,1,1997/03/28 00:00:00,-114,
HAGP003,1,1997/04/28 00:00:00,-105,
HAGP003,1,1997/05/14 00:00:00,-104,
HAGP003,1,1997/05/28 00:00:00,-116,
HAGP003,1,1997/06/13 00:00:00,-115,
HAGP003,1,1997/06/30 00:00:00,-109,
HAGP003,1,1997/07/14 00:00:00,-102,
HAGP003,1,1997/07/28 00:00:00,-116,
HAGP003,1,1997/08/14 00:00:00,-124,
HAGP003,1,1997/08/29 00:00:00,-119,
HAGP003,1,1997/09/15 00:00:00,-125,
HAGP003,1,1997/09/29 00:00:00,-125,
HAGP003,1,1997/10/14 00:00:00,-104,
HAGP003,1,1997/10/29 00:00:00,-118,
HAGP003,1,1997/11/17 00:00:00,-117,
HAGP003,1,1997/12/01 00:00:00,-114,
HAGP003,1,1997/12/14 00:00:00,-116,
HAGP003,1,1997/12/28 00:00:00,-88,
HAGP003,1,1998/01/14 00:00:00,-108,
HAGP003,1,1998/01/28 00:00:00,-114,
HAGP003,1,1998/02/13 00:00:00,-118,
HAGP003,1,1998/02/27 00:00:00,-119,
HAGP003,1,1998/03/13 00:00:00,-109,
HAGP003,1,1998/03/30 00:00:00,-114,
HAGP003,1,1998/04/15 00:00:00,-108,
HAGP003,1,1998/04/29 00:00:00,-110,
HAGP003,1,1998/05/14 00:00:00,-121,
HAGP003,1,1998/05/29 00:00:00,-110,
HAGP003,1,1998/06/14 00:00:00,-95,
HAGP003,1,1998/06/28 00:00:00,-115,
HAGP003,1,1998/07/14 00:00:00,-114,
HAGP003,1,1998/07/28 00:00:00,-120,
HAGP003,1,1998/08/14 00:00:00,-125,
HAGP003,1,1998/08/28 00:00:00,-104,
HAGP003,1,1998/09/14 00:00:00,-77,
HAGP003,1,1998/09/28 00:00:00,-101,
HAGP003,1,1998/10/28 00:00:00,-75,
HAGP003,1,1998/11/16 00:00:00,-80,
HAGP003,1,1998/11/30 00:00:00,-92,
HAGP003,1,1998/12/16 00:00:00,-86,
HAGP003,1,1999/01/05 00:00:00,-78,
HAGP003,1,1999/01/15 00:00:00,-90,
HAGP003,1,1999/01/28 00:00:00,-89,
HAGP003,1,1999/02/15 00:00:00,-92,
HAGP003,1,1999/03/01 00:00:00,-83,
HAGP003,1,1999/03/15 00:00:00,-107,
HAGP003,1,1999/03/29 00:00:00,-103,
HAGP003,1,1999/04/14 00:00:00,-90,
HAGP003,1,1999/04/28 00:00:00,-108,
HAGP003,1,1999/05/14 00:00:00,-110,
HAGP003,1,1999/05/28 00:00:00,-115,
HAGP003,1,1999/06/14 00:00:00,-118,
HAGP003,1,1999/06/28 00:00:00,-123,
HAGP003,1,1999/07/14 00:00:00,-115,
HAGP003,1,1999/07/28 00:00:00,-126,
HAGP003,1,1999/08/16 00:00:00,-103,
HAGP003,1,1999/09/13 00:00:00,-121,
HAGP003,1,1999/09/28 00:00:00,-122,
HAGP003,1,1999/10/14 00:00:00,-122,
HAGP003,1,1999/10/28 00:00:00,-122,
HAGP003,1,1999/11/16 00:00:00,-130,
HAGP003,1,1999/11/28 00:00:00,-120,
HAGP003,1,1999/12/14 00:00:00,-89,
HAGP003,1,1999/12/28 00:00:00,-80,
HAGP003,1,2000/01/14 00:00:00,-117,
HAGP003,1,2000/01/28 00:00:00,-110,
HAGP003,1,2000/02/14 00:00:00,-104,
HAGP003,1,2000/02/28 00:00:00,-103,
HAGP003,1,2000/03/14 00:00:00,-105,
HAGP003,1,2000/03/28 00:00:00,-110,
HAGP003,1,2000/04/14 00:00:00,-109,
HAGP003,1,2000/04/28 00:00:00,-111,
HAGP003,1,2000/05/15 00:00:00,-119,
HAGP003,1,2000/05/29 00:00:00,-108,
HAGP003,1,2000/06/14 00:00:00,-117,
HAGP003,1,2000/06/28 00:00:00,-119,
HAGP003,1,2000/07/14 00:00:00,-101,
HAGP003,1,2000/07/28 00:00:00,-84,
HAGP003,1,2000/08/16 00:00:00,-115,
HAGP003,1,2000/08/18 00:00:00,-115,
HAGP003,1,2000/09/12 00:00:00,-117,
HAGP003,1,2000/09/28 00:00:00,-113,
HAGP003,1,2000/10/16 00:00:00,-107,
HAGP003,1,2000/10/27 00:00:00,-108,
HAGP003,1,2000/11/14 00:00:00,-108,
HAGP003,1,2000/11/28 00:00:00,-88,
HAGP003,1,2000/12/14 00:00:00,-89,
HAGP003,1,2000/12/28 00:00:00,-102,
HAGP003,1,2001/01/14 00:00:00,-103,
HAGP003,1,2001/01/29 00:00:00,-94,
HAGP003,1,2001/02/14 00:00:00,-99,
HAGP003,1,2001/02/28 00:00:00,-103,
HAGP003,1,2001/03/14 00:00:00,-95,
HAGP003,1,2001/06/14 00:00:00,-121,
HAGP003,1,2001/06/28 00:00:00,-123,
HAGP003,1,2001/07/13 00:00:00,-123,
HAGP003,1,2001/07/28 00:00:00,-118,
HAGP003,1,2001/08/16 00:00:00,-124,
HAGP003,1,2001/09/14 00:00:00,-110,
HAGP003,1,2001/10/28 00:00:00,-99,
HAGP003,1,2001/11/13 00:00:00,-101,
HAGP003,1,2001/11/28 00:00:00,-97,
HAGP003,1,2001/12/14 00:00:00,-105,
HAGP003,1,2001/12/28 00:00:00,-76,
HAGP003,1,2002/01/28 00:00:00,-81,
HAGP003,1,2002/02/14 00:00:00,-89,
HAGP003,1,2002/02/28 00:00:00,-80,
HAGP003,1,2002/03/14 00:00:00,-96,
HAGP003,1,2002/03/28 00:00:00,-102,
HAGP003,1,2002/04/14 00:00:00,-109,
HAGP003,1,2002/04/28 00:00:00,-101,
HAGP003,1,2002/05/14 00:00:00,-110,
HAGP003,1,2002/05/28 00:00:00,-110,
HAGP003,1,2002/06/14 00:00:00,-114,
HAGP003,1,2002/06/28 00:00:00,-122,
HAGP003,1,2002/07/14 00:00:00,-96,
HAGP003,1,2002/07/29 00:00:00,-112,
HAGP003,1,2002/08/14 00:00:00,-109,
HAGP003,1,2002/08/29 00:00:00,-92,
HAGP003,1,2002/09/14 00:00:00,-110,
HAGP003,1,2002/09/28 00:00:00,-107,
HAGP003,1,2002/10/14 00:00:00,-110,
HAGP003,1,2002/10/28 00:00:00,-94,
HAGP003,1,2002/11/14 00:00:00,-87,
HAGP003,1,2002/11/28 00:00:00,-97,
HAGP003,1,2002/12/14 00:00:00,-108,
HAGP003,1,2002/12/28 00:00:00,-87,
HAGP003,1,2003/01/14 00:00:00,-92,
HAGP003,1,2003/01/28 00:00:00,-90,
HAGP003,1,2003/02/14 00:00:00,-105,
HAGP003,1,2003/02/28 00:00:00,-107,
HAGP003,1,2003/03/14 00:00:00,-99,
HAGP003,1,2003/03/28 00:00:00,-110,
HAGP003,1,2003/04/14 00:00:00,-111,
HAGP003,1,2003/04/28 00:00:00,-108,
HAGP003,1,2003/05/14 00:00:00,-110,
HAGP003,1,2003/05/28 00:00:00,-107,
HAGP003,1,2003/06/13 00:00:00,-101,
HAGP003,1,2003/06/27 00:00:00,-115,
HAGP003,1,2003/07/14 00:00:00,-114,
HAGP003,1,2003/07/28 00:00:00,-109,
HAGP003,1,2003/08/14 00:00:00,-124,
HAGP003,1,2003/08/27 00:00:00,-126,
HAGP003,1,2003/09/16 00:00:00,-119,
HAGP003,1,2003/09/28 00:00:00,-121,
HAGP003,1,2003/10/14 00:00:00,-103,
HAGP003,1,2003/10/28 00:00:00,-108,
HAGP003,1,2003/11/14 00:00:00,-112,
HAGP003,1,2003/11/27 00:00:00,-110,
HAGP003,1,2003/12/16 00:00:00,-95,
HAGP003,1,2003/12/29 00:00:00,-93,
HAGP003,1,2004/01/13 00:00:00,-79,
HAGP003,1,2004/01/29 00:00:00,-98,
HAGP003,1,2004/02/13 00:00:00,-99,
HAGP003,1,2004/02/27 00:00:00,-100,
HAGP003,1,2004/03/15 00:00:00,-106,
HAGP003,1,2004/03/29 00:00:00,-111,
HAGP003,1,2004/04/14 00:00:00,-110,
HAGP003,1,2004/04/28 00:00:00,-115,
HAGP004,1,1991/12/16 00:00:00,-130,
HAGP004,1,1991/12/28 00:00:00,-109,
HAGP004,1,1992/01/14 00:00:00,-117,
HAGP004,1,1992/01/28 00:00:00,-121,
HAGP004,1,1992/02/14 00:00:00,-116,
HAGP004,1,1992/02/28 00:00:00,-121,
HAGP004,1,1992/03/14 00:00:00,-107,
HAGP004,1,1992/03/27 00:00:00,-112,
HAGP004,1,1992/04/14 00:00:00,-117,
HAGP004,1,1992/04/28 00:00:00,-111,
HAGP004,1,1992/05/14 00:00:00,-115,
HAGP004,1,1992/05/27 00:00:00,-128,
HAGP004,1,1992/06/15 00:00:00,-120,
HAGP004,1,1992/06/29 00:00:00,-132,
HAGP004,1,1992/07/14 00:00:00,-125,
HAGP004,1,1992/07/28 00:00:00,-125,
HAGP004,1,1992/08/14 00:00:00,-94,
HAGP004,1,1992/08/28 00:00:00,-111,
HAGP004,1,1992/09/14 00:00:00,-110,
HAGP004,1,1992/09/28 00:00:00,-120,
HAGP004,1,1992/10/14 00:00:00,-121,
HAGP004,1,1992/10/28 00:00:00,-101,
HAGP004,1,1992/11/13 00:00:00,-100,
HAGP004,1,1992/11/27 00:00:00,-97,
HAGP004,1,1992/12/14 00:00:00,-95,
HAGP004,1,1992/12/28 00:00:00,-105,
HAGP004,1,1993/01/14 00:00:00,-86,
HAGP004,1,1993/01/28 00:00:00,-91,
HAGP004,1,1993/02/15 00:00:00,-107,
HAGP004,1,1993/03/01 00:00:00,-106,
HAGP004,1,1993/03/15 00:00:00,-113,
HAGP004,1,1993/03/29 00:00:00,-116,
HAGP004,1,1993/04/14 00:00:00,-112,
HAGP004,1,1993/04/28 00:00:00,-118,
HAGP004,1,1993/05/14 00:00:00,-117,
HAGP004,1,1993/05/28 00:00:00,-119,
HAGP004,1,1993/06/14 00:00:00,-123,
HAGP004,1,1993/06/28 00:00:00,-126,
HAGP004,1,1993/07/14 00:00:00,-128,
HAGP004,1,1993/07/28 00:00:00,-101,
HAGP004,1,1993/08/13 00:00:00,-122,
HAGP004,1,1993/08/27 00:00:00,-122,
HAGP004,1,1993/09/16 00:00:00,-110,
HAGP004,1,1993/09/28 00:00:00,-100,
HAGP004,1,1993/10/14 00:00:00,-103,
HAGP004,1,1993/10/28 00:00:00,-110,
HAGP004,1,1993/11/16 00:00:00,-91,
HAGP004,1,1993/11/27 00:00:00,-112,
HAGP004,1,1993/12/14 00:00:00,-80,
HAGP004,1,1993/12/28 00:00:00,-83,
HAGP004,1,1994/01/14 00:00:00,-86,
HAGP004,1,1994/01/28 00:00:00,-80,
HAGP004,1,1994/02/14 00:00:00,-99,
HAGP004,1,1994/02/28 00:00:00,-99,
HAGP004,1,1994/03/14 00:00:00,-104,
HAGP004,1,1994/03/28 00:00:00,-96,
HAGP004,1,1994/04/14 00:00:00,-102,
HAGP004,1,1994/04/28 00:00:00,-108,
HAGP004,1,1994/05/10 00:00:00,-108,
HAGP004,1,1994/05/26 00:00:00,-104,
HAGP004,1,1994/06/14 00:00:00,-106,
HAGP004,1,1994/06/28 00:00:00,-118,
HAGP004,1,1994/07/14 00:00:00,-109,
HAGP004,1,1994/07/28 00:00:00,-124,
HAGP004,1,1994/08/16 00:00:00,-125,
HAGP004,1,1994/08/29 00:00:00,-116,
HAGP004,1,1994/09/14 00:00:00,-115,
HAGP004,1,1994/09/28 00:00:00,-105,
HAGP004,1,1994/10/14 00:00:00,-109,
HAGP004,1,1994/10/28 00:00:00,-106,
HAGP004,1,1994/11/14 00:00:00,-101,
HAGP004,1,1994/11/28 00:00:00,-105,
HAGP004,1,1994/12/14 00:00:00,-89,
HAGP004,1,1994/12/28 00:00:00,-75,
HAGP004,1,1995/01/13 00:00:00,-91,
HAGP004,1,1995/01/27 00:00:00,-74,
HAGP004,1,1995/02/14 00:00:00,-92,
HAGP004,1,1995/02/28 00:00:00,-89,
HAGP004,1,1995/03/14 00:00:00,-98,
HAGP004,1,1995/03/28 00:00:00,-94,
HAGP004,1,1995/04/14 00:00:00,-101,
HAGP004,1,1995/04/28 00:00:00,-102,
HAGP004,1,1995/05/15 00:00:00,-108,
HAGP004,1,1995/05/28 00:00:00,-93,
HAGP004,1,1995/06/16 00:00:00,-99,
HAGP004,1,1995/06/28 00:00:00,-111,
HAGP004,1,1995/07/14 00:00:00,-118,
HAGP004,1,1995/07/28 00:00:00,-118,
HAGP004,1,1995/08/16 00:00:00,-123,
HAGP004,1,1995/08/28 00:00:00,-103,
HAGP004,1,1995/09/14 00:00:00,-108,
HAGP004,1,1995/09/28 00:00:00,-92,
HAGP004,1,1995/10/14 00:00:00,-107,
HAGP004,1,1995/10/27 00:00:00,-111,
HAGP004,1,1995/11/14 00:00:00,-115,
HAGP004,1,1995/11/28 00:00:00,-115,
HAGP004,1,1995/12/14 00:00:00,-116,
HAGP004,1,1995/12/28 00:00:00,-105,
HAGP004,1,1996/01/14 00:00:00,-114,
HAGP004,1,1996/01/28 00:00:00,-123,
HAGP004,1,1996/02/14 00:00:00,-116,
HAGP004,1,1996/02/28 00:00:00,-113,
HAGP004,1,1996/03/14 00:00:00,-122,
HAGP004,1,1996/03/28 00:00:00,-123,
HAGP004,1,1996/04/15 00:00:00,-122,
HAGP004,1,1996/04/29 00:00:00,-123,
HAGP004,1,1996/05/14 00:00:00,-123,
HAGP004,1,1996/05/28 00:00:00,-114,
HAGP004,1,1996/06/14 00:00:00,-128,
HAGP004,1,1996/06/28 00:00:00,-129,
HAGP004,1,1996/07/15 00:00:00,-118,
HAGP004,1,1996/07/29 00:00:00,-130,
HAGP004,1,1996/08/14 00:00:00,-107,
HAGP004,1,1996/08/29 00:00:00,-65,
HAGP004,1,1996/09/14 00:00:00,-112,
HAGP004,1,1996/09/27 00:00:00,-116,
HAGP004,1,1996/10/14 00:00:00,-118,
HAGP004,1,1996/10/28 00:00:00,-110,
HAGP004,1,1996/11/14 00:00:00,-99,
HAGP004,1,1996/11/28 00:00:00,-95,
HAGP004,1,1996/12/13 00:00:00,-101,
HAGP004,1,1996/12/27 00:00:00,-111,
HAGP004,1,1997/01/14 00:00:00,-114,
HAGP004,1,1997/02/14 00:00:00,-91,
HAGP004,1,1997/02/28 00:00:00,-98,
HAGP004,1,1997/03/14 00:00:00,-108,
HAGP004,1,1997/03/28 00:00:00,-106,
HAGP004,1,1997/04/28 00:00:00,-103,
HAGP004,1,1997/05/14 00:00:00,-101,
HAGP004,1,1997/05/28 00:00:00,-113,
HAGP004,1,1997/06/13 00:00:00,-113,
HAGP004,1,1997/06/30 00:00:00,-94,
HAGP004,1,1997/07/14 00:00:00,-108,
HAGP004,1,1997/07/28 00:00:00,-112,
HAGP004,1,1997/08/14 00:00:00,-121,
HAGP004,1,1997/08/29 00:00:00,-116,
HAGP004,1,1997/09/15 00:00:00,-122,
HAGP004,1,1997/09/29 00:00:00,-122,
HAGP004,1,1997/10/14 00:00:00,-102,
HAGP004,1,1997/10/29 00:00:00,-114,
HAGP004,1,1997/11/17 00:00:00,-114,
HAGP004,1,1997/12/01 00:00:00,-111,
HAGP004,1,1997/12/14 00:00:00,-112,
HAGP004,1,1997/12/28 00:00:00,-87,
HAGP004,1,1998/01/14 00:00:00,-107,
HAGP004,1,1998/01/28 00:00:00,-111,
HAGP004,1,1998/02/13 00:00:00,-115,
HAGP004,1,1998/02/27 00:00:00,-117,
HAGP004,1,1998/03/13 00:00:00,-106,
HAGP004,1,1998/03/30 00:00:00,-112,
HAGP004,1,1998/04/15 00:00:00,-105,
